reference_id,species,common_name,sample,Sample name,Collection date,description,Isolation source,aligned_reads,total_reads,preprocessed_reads,SARS2_aligned_reads
AC_000022.2,Rattus norvegicus,brown rat,1-29-8,Env_0686,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),2,359030832,357570380,0
AC_000022.2,Rattus norvegicus,brown rat,10-31-In2,Env_0617,2020-01-23,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,704128496,567138296,0
AC_000022.2,Rattus norvegicus,brown rat,10-31-abv2,Env_0619,2020-01-23,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,1360832396,1069146734,0
AC_000022.2,Rattus norvegicus,brown rat,629-1-L1,Env_0875,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,252411094,252223628,0
AC_000022.2,Rattus norvegicus,brown rat,629-11-L,Env_0885,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,283979922,283699402,0
AC_000022.2,Rattus norvegicus,brown rat,629-13-L,Env_0887,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,151601488,151459636,0
AC_000022.2,Rattus norvegicus,brown rat,629-3-C,Env_0877,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,250706932,250454674,0
AC_000022.2,Rattus norvegicus,brown rat,629-5-L4,Env_0879,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,142757404,142601298,0
AC_000022.2,Rattus norvegicus,brown rat,629-8-L7,Env_0882,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,323943238,323642686,0
AC_000022.2,Rattus norvegicus,brown rat,629-L-1,Env_0889,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,149034948,148917124,0
AC_000022.2,Rattus norvegicus,brown rat,7-26-BX,Env_0705,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,316029844,310272016,0
AC_000022.2,Rattus norvegicus,brown rat,7-26-DH,Env_0712,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,621930196,614950812,0
AC_000022.2,Rattus norvegicus,brown rat,7-26-PSN,Env_0708,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1,448608558,440152876,0
AC_000022.2,Rattus norvegicus,brown rat,7-26-PSW,Env_0707,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2,455587556,447239750,0
AC_000022.2,Rattus norvegicus,brown rat,8-25-BX,Env_0714,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,4,1072735252,1052816992,0
AC_000022.2,Rattus norvegicus,brown rat,8-25-CK,Env_0716,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,1480498476,1453179148,0
AC_000022.2,Rattus norvegicus,brown rat,8-25-D1,Env_0753,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1,1095500008,1092251402,0
AC_000022.2,Rattus norvegicus,brown rat,8-25-D2,Env_0754,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,82897758,82783564,0
AC_000022.2,Rattus norvegicus,brown rat,8-25-D_Env_0715,Env_0715,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,235373372,235046960,0
AC_000022.2,Rattus norvegicus,brown rat,8-25-D_Env_0717,Env_0717,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,1785277860,1754348330,0
AC_000022.2,Rattus norvegicus,brown rat,8-25-Long,Env_0756,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,285438334,285004846,0
AC_000022.2,Rattus norvegicus,brown rat,8-25-M1,Env_0719,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,448136180,440431146,24
AC_000022.2,Rattus norvegicus,brown rat,8-25-M2,Env_0720,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2,1643081696,1619753176,0
AC_000022.2,Rattus norvegicus,brown rat,A101,Env_0101,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,4,152214618,150334192,67
AC_000022.2,Rattus norvegicus,brown rat,A14,Env_0014,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,224753358,224065452,4
AC_000022.2,Rattus norvegicus,brown rat,A15,Env_0015,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,125479944,121336160,200
AC_000022.2,Rattus norvegicus,brown rat,A18,Env_0018,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,312835374,311957902,226
AC_000022.2,Rattus norvegicus,brown rat,A2,Env_0002,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2,232292820,231657242,66
AC_000022.2,Rattus norvegicus,brown rat,A20,Env_0020,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,150618264,150108468,55
AC_000022.2,Rattus norvegicus,brown rat,A20,Env_0020,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for viral whole-genome assembly (Env_0020_seq01),West Wine of HSM,0,30658920,30616180,21679162
AC_000022.2,Rattus norvegicus,brown rat,A33,Env_0033,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,181288538,180672146,35
AC_000022.2,Rattus norvegicus,brown rat,A55,Env_0055,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,251516184,249861634,176
AC_000022.2,Rattus norvegicus,brown rat,A61,Env_0061,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,449907818,447887988,334
AC_000022.2,Rattus norvegicus,brown rat,A63,Env_0063,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,231951500,231151638,65
AC_000022.2,Rattus norvegicus,brown rat,A87,Env_0087,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,234662376,230809844,136
AC_000022.2,Rattus norvegicus,brown rat,A88,Env_0088,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,198903118,198034280,18
AC_000022.2,Rattus norvegicus,brown rat,A90,Env_0090,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,264471372,263287766,22
AC_000022.2,Rattus norvegicus,brown rat,A96,Env_0096,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,373174220,371935598,4
AC_000022.2,Rattus norvegicus,brown rat,B17,Env_0138,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,24,213123774,212247246,406
AC_000022.2,Rattus norvegicus,brown rat,B5,Env_0126,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,229464470,228679552,1460
AC_000022.2,Rattus norvegicus,brown rat,B5-P3,Env_0126_seq06,2020-02-29,SARS-CoV-2 Amplicon based SARS-CoV-2 whole genome sequencing for cell supernatants,West Wine of HSM,0,4419724,4387746,4170183
AC_000022.2,Rattus norvegicus,brown rat,C12,Env_0842,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,172668030,172406388,0
AC_000022.2,Rattus norvegicus,brown rat,C17,Env_0847,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,115798096,115656494,0
AC_000022.2,Rattus norvegicus,brown rat,C9,Env_0839,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,322273836,321771284,0
AC_000022.2,Rattus norvegicus,brown rat,CCDC-454,Env_0873,2020-02-25,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,240593678,240397844,0
AC_000022.2,Rattus norvegicus,brown rat,CCDC-744,Env_0893,2020-03-02,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,224276396,224133304,0
AC_000022.2,Rattus norvegicus,brown rat,CCDC-746,Env_0895,2020-03-02,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,189764532,189578752,0
AC_000022.2,Rattus norvegicus,brown rat,CCDC-758,Env_0907,2020-03-02,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,118189266,118129048,0
AC_000022.2,Rattus norvegicus,brown rat,CCDC-760,Env_0909,2020-03-02,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,248209416,247956500,0
AC_000022.2,Rattus norvegicus,brown rat,CSSQ-1-1,Env_0788,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,18,414790264,413481668,10
AC_000022.2,Rattus norvegicus,brown rat,CSSQ-1-2,Env_0789,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,3,695008022,692824558,0
AC_000022.2,Rattus norvegicus,brown rat,CSSQ-1-3,Env_0790,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,52,833323492,830919324,0
AC_000022.2,Rattus norvegicus,brown rat,D32,Env_0213,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,24,197394836,192567692,326
AC_000022.2,Rattus norvegicus,brown rat,E-10-29-2,Env_0856,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,185353468,185063090,0
AC_000022.2,Rattus norvegicus,brown rat,E-A-7-1,Env_0858,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM,0,284186514,283909518,0
AC_000022.2,Rattus norvegicus,brown rat,E48,Env_0262,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM,0,327263320,326295968,10
AC_000022.2,Rattus norvegicus,brown rat,E61,Env_0275,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM,6,273098290,272484584,57
AC_000022.2,Rattus norvegicus,brown rat,E7,Env_0221,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,237236566,236110936,126
AC_000022.2,Rattus norvegicus,brown rat,EWS-2#-2,Env_0813,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),4,274010262,273515897,0
AC_000022.2,Rattus norvegicus,brown rat,EWS-3#-2,Env_0815,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),10,404878491,403146924,0
AC_000022.2,Rattus norvegicus,brown rat,F100,Env_0400,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,260045208,258888672,7202
AC_000022.2,Rattus norvegicus,brown rat,F13,Env_0313,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomic analysis and viral whole-genome assembly (Env_0313_seq02),West Wine of HSM,0,194061202,190734294,420581
AC_000022.2,Rattus norvegicus,brown rat,F13-20,Env_0313_seq04,2020-01-20,SARS-CoV-2 Amplicon based SARS-CoV-2 whole genome sequencing for cell supernatants,West Wine of HSM,0,3342164,3202156,598032
AC_000022.2,Rattus norvegicus,brown rat,F13-21,Env_0313_seq05,2020-01-21,SARS-CoV-2 Amplicon based SARS-CoV-2 whole genome sequencing for cell supernatants,West Wine of HSM,0,5222964,5015430,1220695
AC_000022.2,Rattus norvegicus,brown rat,F46,Env_0346,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,371601488,370364410,241
AC_000022.2,Rattus norvegicus,brown rat,F54,Env_0354,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomic analysis and viral whole-genome assembly (Env_0354_seq03),West Wine of HSM,1,163866180,162613504,97675
AC_000022.2,Rattus norvegicus,brown rat,F54-P3,Env_0354_seq07,2020-02-29,SARS-CoV-2 Amplicon based SARS-CoV-2 whole genome sequencing for cell supernatants,West Wine of HSM,0,3983946,3965120,3800578
AC_000022.2,Rattus norvegicus,brown rat,F98,Env_0398,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,401129274,399738564,330
AC_000022.2,Rattus norvegicus,brown rat,HJ200001-20200112-1,Env_0516,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2,116413586,116406869,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200002-20200112-1,Env_0517,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,231135586,231131774,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200003-20200112-1,Env_0518,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,20,120833173,120801507,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200004-20200112-1,Env_0519,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2,227313012,227303961,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200005-20200112-1,Env_0520,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,115311032,115290866,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200006-20200112-1,Env_0521,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,9,128838556,128816135,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200007-20200112-1,Env_0522,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,125,136838931,136766253,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200008-20200112-1,Env_0523,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1138,152542047,147973376,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200009-20200112-1,Env_0524,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2,149941267,149933181,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200010-20200112-1,Env_0525,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,627,147884404,141938876,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200011-20200112-1,Env_0526,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,191240048,58499377,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200012-20200112-1,Env_0527,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,130340061,130288508,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200013-20200112-1,Env_0528,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,123280804,108905023,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200014-20200112-1,Env_0529,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,107473312,107463832,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200015-20200112-1,Env_0530,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,135398878,135394104,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200016-20200112-1,Env_0531,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,116470371,116465438,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200017-20200112-1,Env_0532,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,107424010,107421631,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200018-20200112-1,Env_0533,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,138556572,138553142,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200019-20200112-1,Env_0534,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,79774840,69992042,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200020-20200112-1,Env_0535,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,105976300,79069690,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200021-20200112-1,Env_0536,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3,100441005,81668649,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200022-20200112-1,Env_0537,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,135591538,123574447,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200023-20200112-1,Env_0538,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,128357888,68844779,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200024-20200112-1,Env_0539,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,100491175,97913441,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200025-20200112-1,Env_0540,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,122867989,122866404,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200026-20200112-1,Env_0541,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2,117079835,104056584,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200027-20200112-1,Env_0542,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,130295351,89627309,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200028-20200112-1,Env_0543,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2,135722920,77643894,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200029-20200112-1,Env_0544,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,93556100,93554718,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200030-20200112-1,Env_0545,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2,133794408,113506988,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200031-20200112-1,Env_0546,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,119825994,103972438,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200032-20200112-1,Env_0547,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,140059362,140056192,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200033-20200112-1,Env_0548,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,116117847,116115128,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200034-20200112-1,Env_0549,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,148630458,148628067,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200035-20200112-1,Env_0550,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,114656800,71848972,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200036-20200112-1,Env_0551,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,229948912,223587184,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200038-20200112-1,Env_0553,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,7,151880283,100630232,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200039-20200112-1,Env_0554,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,142286542,122568305,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200040-20200112-1,Env_0555,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,148189843,147915888,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200041-20200112-1,Env_0556,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,175898966,175895251,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200042-20200112-1,Env_0557,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,197873948,189564681,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200043-20200112-1,Env_0558,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3,183054104,82606767,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200044-20200112-1,Env_0559,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,133367538,121186442,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200045-20200112-1,Env_0560,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,105882981,105877396,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200046-20200112-1,Env_0561,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,121910404,106387561,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200047-20200112-1,Env_0562,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,151986733,140712756,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200048-20200112-1,Env_0563,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,123232053,123116540,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200049-20200112-1,Env_0564,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,123180392,103553042,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200050-20200112-1,Env_0565,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,105753979,101361076,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200051-20200112-1,Env_0566,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,115961889,115958366,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200052-20200112-1,Env_0567,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,154033234,130886773,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200053-20200112-1,Env_0568,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,126620146,126609363,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200054-20200112-1,Env_0569,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,160051173,157214277,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200055-20200112-1,Env_0570,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,105808973,105805618,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200056-20200112-1,Env_0571,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,189379769,167470241,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200057-20200112-1,Env_0572,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,12,113160785,107015406,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200058-20200112-1,Env_0573,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,271738868,271713483,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200059-20200112-1,Env_0574,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,254572241,249616207,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200060-20200112-1,Env_0575,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,180300472,180296216,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200062-20200112-1,Env_0577,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,176977976,176948654,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200063-20200112-1,Env_0578,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,122590302,120433017,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200065-20200112-1,Env_0580,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,104020347,72963379,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200066-20200112-1,Env_0581,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,142862977,141470881,0
AC_000022.2,Rattus norvegicus,brown rat,HJ200067-20200112-1,Env_0582,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,0,77126276,76812627,0
AC_000022.2,Rattus norvegicus,brown rat,HXJC4-1-1,Env_0800,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,1,567994570,566149468,0
