id,species,common_name
NC_036233.1,Ompok bimaculatus voucher OB-WM-TR01,
NC_052779.1,Bucco capensis,
NC_008655.1,Barbonymus gonionotus,
NC_053109.1,Chloropsis hardwickii,
NC_064195.1,Alouatta belzebul isolate BM52712,
NC_068807.1,Dipodomys merriami isolate Neon_RodL1_298445 voucher NEON01IHV,
NC_025618.1,Cardinalis cardinalis,
NC_040003.1,Gobiopterus lacustris,
NC_023977.1,Mastacembelus armatus,
NC_024753.1,Macropodus ocellatus,
NC_025624.1,Hemignathus stejnegeri,
NC_033956.1,Serpenticobitis octozona voucher CBM:ZF 12277,
NC_051473.1,Chelonoidis becki,
NC_063644.1,Eutropis multifasciata,
NC_068259.1,Rana coreana isolate IN9769,
NC_021450.1,Epinephelus quoyanus,
NC_029477.1,Myodes rufocanus,
NC_037692.1,Emberiza leucocephalos,
NC_046762.1,Chionobathyscus dewitti,
NC_034737.1,Lepilemur scottorum isolate MAS6.12,
NC_037008.1,Notropis chalybaeus voucher NEFC F16-050,
NC_062725.1,Devario shanensis,
NC_013624.2,Avocettina infans,
NC_025316.1,Lepus sinensis,
NC_023973.1,Pseudaesopia japonica,
NC_039537.1,Picumnus innominatus,
NC_014576.1,Chrysolophus pictus,
NC_007228.1,Synodus variegatus,
NC_023808.1,Pastinachus atrus,
NC_051884.1,Carangoides plagiotaenia,
NC_057089.1,Falco subbuteo,
NC_056784.1,Parmaturus melanobranchus,
NC_059940.1,Squalus blainville,
NC_050383.1,Elaphodus cephalophus cephalophus,
NC_007172.2,Thalassarche melanophrys,
NC_033404.1,Amazilia rondoniae,
NC_042503.1,Lateolabrax japonicus,
NC_050993.1,Tupaia minor isolate BOR423,
NC_002763.1,Cebus albifrons,
NC_013074.1,Moxostoma congestum,
NC_020647.1,Nasua nasua voucher ROM108237,
NC_017891.1,Epinephelus moara,
NC_022821.1,Pristis clavata,
NC_026039.1,Aratinga solstitialis,
NC_009065.1,Amphiprion ocellaris,
NC_018036.1,Cyprinus carpio xingguonensis,
NC_020009.2,Papio papio,
NC_025301.1,Rhabdosargus sarba,
NC_029234.1,Yongeichthys criniger,
NC_031532.1,Luciobarbus sclateri,
NC_034236.1,Delphinapterus leucas voucher NIBRMM0000113608,
NC_052777.1,Oceanites oceanicus,
NC_000891.1,Ornithorhynchus anatinus,
NC_009709.1,Hippoglossus hippoglossus,
NC_003128.3,Buteo buteo,
NC_013725.1,Scomber australasicus,
NC_021371.1,Apalone spinifera,
NC_024674.1,Brachymystax tumensis isolate Bikin,
NC_026105.1,Goniurosaurus luii voucher GL511,
NC_026542.1,Pteropus vampyrus,
NC_027664.1,Nipponocypris temminckii,
NC_056194.1,Sinocyclocheilus longibarbatus,
NC_020746.1,Saiga tatarica isolate KOLN,
NC_022510.1,Apogon semilineatus,
NC_044868.1,Xenopus largeni isolate R7939_MHNG2644.059,
NC_051022.1,Myiagra hebetior,
NC_024629.1,Chiropotes israelita,
NC_033939.1,Pteronotropis hypselopterus,
NC_034278.1,Campephilus imperialis,
NC_053104.1,Falcunculus frontatus,
NC_063874.1,Rasbora chrysotaenia voucher BIF4879,
NC_006464.1,Asymmetron lucayanum,
NC_026521.1,Chaetodontoplus mesoleucus,
NC_013625.1,Nettastoma parviceps,
NC_028568.1,Dasypus sabanicola voucher USNM_372834,
NC_035717.1,Schismatogobius ampluvinculus voucher NSMT:P127399,
NC_013068.1,Tscherskia triton,
NC_021769.1,Pseudorasbora elongata,
NC_031426.1,Scutiger ningshanensis,
NC_060494.1,Manis pentadactyla pentadactyla isolate MT27,
NC_019574.1,Alburnus istanbulensis,
NC_034373.1,Garrulax elliotii,
NC_042393.1,Protosalanx chinensis,
NC_013069.1,Budorcas taxicolor,
NC_026854.1,Onychodactylus zhaoermii,
NC_071253.1,Dopasia sokolovi voucher NCSM 77336,
NC_070074.1,Kali macrura,
NC_011936.1,Scarus schlegeli,
NC_015362.1,Phoxinus percnurus sachalinensis,
NC_022420.1,Anoura caudifer,
NC_023923.1,Clarias batrachus,
NC_026918.1,Parachromis managuensis,
NC_023768.1,Achirus lineatus,
NC_058201.1,Oreinus dulongensis,
NC_058978.1,Lentipes armatus URM<JPN>:P:48836,
NC_003713.2,Haematopus ater,
NC_014571.1,Ambystoma texanum,
NC_018043.1,Onychostoma lini,
NC_019615.1,Hoplobatrachus rugulosus,
NC_020782.1,Epinephelus fasciatomaculosus,
NC_024538.1,Myodes glareolus,
NC_046940.1,Girella melanichthys,
NC_053057.1,Bombycilla garrulus,
NC_062821.1,Aphyocypris lini,
NC_012141.1,Martes flavigula,
NC_012764.1,Perodicticus potto,
NC_005270.1,Eschrichtius robustus,
NC_050028.1,Hadrosciurus pyrrhinus voucher MPEG41755,
NC_019591.1,Orcaella heinsohni,
NC_022706.1,Odontobutis potamophila,
NC_023965.1,Allenopithecus nigroviridis,
NC_049151.1,Dentex hypselosomus,
NC_022692.1,Rhinogobius giurinus,
NC_011625.1,Takifugu niphobles,
NC_032081.1,Hypselobarbus pulchellus,
NC_065082.1,Praomys hartwigi voucher CAM13,
NC_004375.1,Cataetyx rubrirostris,
NC_020583.1,Bambusicola fytchii,
NC_022422.1,Carollia perspicillata,
NC_022947.1,Labiobarbus ocellatus,
NC_028592.1,Cercocebus atys,
NC_045210.1,Hynobius unisacculus,
NC_063103.1,Sinocyclocheilus purpureus,
NC_065434.1,Cheirogaleus medius isolate KIBO7.9,
NC_027248.1,Crocidura mindorus voucher FMNH221890,
NC_035615.1,Neotomodon alstoni,
NC_049097.1,Corydoras panda,
NC_008422.1,Mirounga leonina,
NC_008447.1,Lagostrophus fasciatus,
NC_014849.1,Cottus poecilopus,
NC_063546.1,Myersina filifer,
NC_065247.1,Steindachneridion melanodermatum voucher LGP11105,
NC_068887.1,Pyrrhura molinae,
NC_027236.1,Rana sylvatica,
NC_008216.1,Nasalis larvatus,
NC_020720.1,Mazama gouazoupira isolate MRGsp2,
NC_041160.1,Nyctalus plancyi,
NC_041660.1,Piranga lutea isolate ku89864,
NC_062728.1,Eonemachilus longidorsalis,
NC_020660.1,Spalacopus cyanus voucher DG657,
NC_022453.1,Acipenser ruthenus,
NC_025747.1,Wiedomys cerradensis,
NC_030287.1,Florisuga fusca,
NC_031557.1,Albulichthys albuloides,
NC_034669.1,Xiphister atropurpureus voucher 262,
NC_039736.1,Asio otus voucher IN830,
NC_042667.1,Gerbilliscus leucogaster voucher TK172839,
NC_068275.1,Trematomus newnesi,
NC_004405.1,Carangoides armatus,
NC_024837.1,Gnathopogon polytaenia,
NC_024922.1,Netta rufina,
NC_068841.1,Diaphus theta,
NC_033943.1,Rhinichthys atratulus,
NC_053063.1,Pycnonotus jocosus,
NC_061400.1,Gracixalus yunnanensis,
NC_014042.1,Hylobates agilis,
NC_024620.1,Colinus virginianus,
NC_018793.1,Cyclemys dentata,
NC_029475.1,Lonchura striata,
NC_033551.1,Cichlasoma dimerus,
NC_015246.1,Osmerus mordax,
NC_021463.1,Botryllus schlosseri complete,
NC_016673.1,Sprattus antipodum,
NC_042943.1,Myotragus balearicus voucher ACAD13062,
NC_004396.1,Parazen pacificus,
NC_004598.1,Retropinna retropinna,
NC_005274.1,Berardius bairdii,
NC_030072.1,Exilisciurus exilis voucher ROM102254,
NC_042882.1,Gephyrocharax atracaudatus,
NC_009589.1,Spratelloides gracilis,
NC_015232.1,Cyanoptila cyanomelana,
NC_020752.1,Tragelaphus strepsiceros isolate PHC11,
NC_025614.1,Coccothraustes coccothraustes,
NC_029360.1,Sturnus vulgaris isolate sv009,
NC_040138.1,Neodon fuscus,
NC_063712.1,Amazona auropalliata,
NC_001646.1,Pongo pygmaeus,
NC_057256.1,Pangasius sanitwongsei,
NC_024513.1,Crocodylus rhombifer,
NC_041308.1,Johnius borneensis isolate FJDS20160816,
NC_020042.1,Coreius heterodon voucher SWU10101203,
NC_029703.1,Motacilla lugens,
NC_020573.1,Anthropoides virgo,
NC_066220.1,Poeciliopsis monacha x P. lucida,
NC_031560.1,Osteobrama feae,
NC_015618.1,Pseudhymenochirus merlini,
NC_023447.1,Colistium nudipinnis,
NC_022691.1,Isurus oxyrinchus,
NC_061626.1,Gymnothorax pseudothyrsoideus,
NC_066830.1,Leptonycteris nivalis,
NC_020632.1,Pseudois nayaur,
NC_021935.1,Garra orientalis,
NC_013711.1,Acheilognathus macropterus,
NC_020426.1,Urocissa erythrorhyncha,
NC_020785.1,Epinephelus areolatus,
NC_012906.1,Gillichthys mirabilis,
NC_034345.1,Trichonotus setiger,
NC_066828.1,Notropis chlorocephalus,
NC_004399.1,Neocyttus rhomboidalis,
NC_025951.1,Curimata mivartii voucher Cmiv-UNAL-001,
NC_004029.2,Odobenus rosmarus rosmarus,
NC_065078.1,Serengetimys pernanus voucher TZ27869,
NC_019605.1,Gymnocypris eckloni,
NC_027279.1,Tetraogallus himalayensis voucher THIM20150414,
NC_037963.1,Bathyraja multispinis voucher eFish-1086,
NC_061921.1,Synodontis punu voucher GAB17_1722,
NC_017875.1,Mauremys annamensis,
NC_025579.1,Falco columbarius,
NC_027505.1,Tylototriton shanjing,
NC_027587.1,Icelus spatula,
NC_046943.1,Paradoxornis heudei,
NC_050024.1,Simosciurus stramineus voucher AMNH62886,
NC_007178.1,Rhacophorus schlegelii,
NC_024052.1,Tarsius dentatus voucher SM10,
NC_024862.1,Carcharhinus macloti,
NC_031605.1,Scaphiodonichthys burmanicus,
NC_035818.1,Sundamys muelleri,
NC_036725.1,Halmaheramys bokimekot voucher 33262_WD225,
NC_011580.1,Apeltes quadracus,
NC_053092.1,Ifrita kowaldi,
NC_052794.1,Burhinus bistriatus,
NC_012770.1,Elaphe poryphyracea,
NC_034746.1,Schistura sikmaiensis,
NC_020425.1,Alauda arvensis,
NC_026701.1,Parus venustulus,
NC_035800.1,Mammut americanum,
NC_002808.1,Echinosorex gymnura,
NC_025900.1,Ardea cinerea,
NC_028311.1,Puma yagouaroundi isolate HJA,
NC_037513.1,Streptopelia decaocto,
NC_065074.1,Hylomyscus kerbispeterhansi voucher KE429,
NC_066940.1,Catostomus tsiltcoosensis,
NC_010205.2,Pteragogus flagellifer,
NC_021601.1,Exostoma labiatum,
NC_024618.1,Crax rubra,
NC_035596.1,Peromyscus aztecus,
NC_044743.1,Polyplectron malacense,
NC_052763.1,Echiichthys vipera isolate DM355,
NC_020605.1,Progne chalybea,
NC_006287.1,Bipes biporus,
NC_049034.1,Sundasciurus hippurus voucher USNM590306M,
NC_007632.1,Echymipera rufescens australis,
NC_025226.1,Glandirana tientaiensis,
NC_028521.1,Rana huanrensis voucher y-d20130058,
NC_059881.1,Charadrius mongolus,
NC_028344.1,Glyphis siamensis isolate GN12170 voucher NMW<AUT>:61397,
NC_053807.1,Stochomys longicaudatus voucher MNHN-ZM-2013-1388,
NC_021598.1,Euchiloglanis kishinouyei,
NC_025600.1,Hesperiphona vespertina,
NC_046581.1,Minous monodactylus,
NC_027658.1,Callithrix kuhlii,
NC_031636.1,Homalosoma hainanensis,
NC_046444.1,Pseudogastromyzon lianjiangensis,
NC_061963.1,Hipposideros pomona,
NC_008065.1,Xenagama taylori,
NC_013754.1,Larimichthys polyactis,
NC_001727.1,Formosania lacustris,
NC_020718.1,Madoqua saltiana isolate AWWP,
NC_024645.1,Culter alburnus x Ancherythroculter nigrocauda,
NC_034338.1,Hoplichthys gilberti,
NC_054244.1,Aerodramus fuciphagus,
NC_012713.1,Notopterus notopterus,
NC_007970.1,Platysternon megacephalum,
NC_025519.1,Thunnus atlanticus voucher Talt-UNAL-001,
NC_013751.1,Naemorhedus caudatus,
NC_012904.1,Branchiostegus japonicus,
NC_001602.1,Halichoerus grypus,
NC_025644.1,Carangoides equula,
NC_041576.1,Hydrophasianus chirurgus,
NC_042218.1,Mesoplodon bidens,
NC_053796.1,Grammomys surdaster voucher USB_RS0756,
NC_025921.1,Ardeola bacchus,
NC_008113.1,Minytrema melanops,
NC_011941.1,Rhinecanthus aculeatus,
NC_025599.1,Fringilla coelebs,
NC_027972.1,Genicanthus lamarck,
NC_044879.1,Xenopus itombwensis isolate R7952_MCZHerpetology_A_138192,
NC_052773.1,Crypturellus soui,
NC_067501.1,Micronemacheilus pulcherrimus,
NC_020464.1,Gobiobotia naktongensis,
NC_037968.1,Leucoraja naevus voucher efish-1181,
NC_067821.1,Aspidoscelis scalaris isolate ASH176,
NC_044435.1,Epiplatys multifasciatus voucher AMNH-I-254532,
NC_045381.1,Corvus pectoralis,
NC_004402.1,Dactyloptena tiltoni,
NC_013883.1,Chaunax pictus,
NC_010195.2,Meleagris gallopavo,
NC_015528.1,Leptobarbus hoevenii,
NC_017881.1,Chaenomugil proboscideus,
NC_025298.1,Sillago indica,
NC_027088.1,Polydactylus sextarius,
NC_028208.1,Melanotaenia boesemani,
NC_033882.1,Hoolock leuconedys voucher KIZ:90218106,
NC_033961.1,Lobocheilos melanotaenia voucher CBM:ZF 11238,
NC_035561.1,Microcebus sambiranensis isolate GAR6,
NC_035608.1,Phaner pallescens isolate KIR6.22,
NC_056334.1,Heniochus acuminatus,
NC_004392.1,Monocentris japonicus,
NC_013148.1,Siganus unimaculatus,
NC_014701.1,Rucervus eldi,
NC_031869.1,Caloenas nicobarica,
NC_044888.1,Xenopus fischbergi isolate R7938_AMNH17297,
NC_027440.1,Sebastes hubbsi,
NC_033929.1,Hybopsis lineapunctata,
NC_015898.1,Gracula religiosa,
NC_012829.1,Basiliscus vittatus,
NC_023470.1,Heterotilapia buttikoferi,
NC_053789.1,Solegnathus spinosissimus,
NC_028316.1,Leptailurus serval isolate LSE,
NC_057519.1,Didelphis pernigra,
NC_009873.1,Chaetodontoplus septentrionalis,
NC_013584.1,Aplidium conicum,
NC_015534.1,Sewellia lineolata,
NC_020136.1,Boulengerula boulengeri,
NC_020731.1,Oreotragus oreotragus isolate PhC21,
NC_020765.1,Coregonus oxyrinchus isolate V21,
NC_020640.1,Mustela frenata voucher ROM101452,
NC_005958.1,Abronia graminea,
NC_050290.1,"Hirundo neoxena voucher B-23632, Louisiana State University",
NC_014685.1,Occidozyga martensii,
NC_044380.1,Pachypanchax playfairii strain SEY 05,
NC_063497.1,Scomberoides lysan,
NC_013607.1,Kaupichthys hyoproroides,
NC_006524.1,Potorous tridactylus,
NC_016709.1,Clupeoides borneensis,
NC_041068.1,Elaphe dione isolate E27,
NC_009849.1,Camelus dromedarius,
NC_059716.1,Lagocephalus gloveri,
NC_063589.1,Echis omanensis,
NC_015819.1,Hepsetus odoe,
NC_018791.1,Trichiurus lepturus nanhaiensis,
NC_012453.1,Arborophila rufipectus,
NC_064198.1,Cheracebus torquatus isolate PUR154 voucher INPA:7497,
NC_065375.1,Mazama temama voucher NUPECCE T362,
NC_044649.1,Leuresthes tenuis,
NC_013138.1,Kyphosus cinerascens,
NC_006465.1,Epigonichthys maldivensis,
NC_023538.1,Coilia grayii,
NC_015197.1,Eupsittula pertinax chrysogenys voucher Coleccion Ornithologica Phelps ML683,
NC_031809.1,Phodopus roborovskii,
NC_037139.1,Glyphonycteris daviesi voucher Royal Ontario Museum ROM-41125,
NC_052710.1,Hypostomus ancistroides voucher LaGEEvo - 1914,
NC_070076.1,Pseudoscopelus astronesthidens,
NC_025916.1,Ardea modesta,
NC_020703.1,Gazella bennettii isolate AWWP,
NC_033887.1,Scomberomorus sierra,
NC_037708.1,Halichoeres hartzfeldii,
NC_008449.1,Plectropomus leopardus,
NC_022419.1,Micronycteris megalotis,
NC_024533.1,Pavo cristatus,
NC_025296.1,Viverricula indica,
NC_027652.1,Centropyge joculator,
NC_029387.1,Squalidus multimaculatus,
NC_033918.1,Sarcocheilichthys biwaensis,
NC_014285.1,Callorhinchus milii,
NC_065490.1,Cosmocampus elucens,
NC_049122.1,Apodemus sylvaticus voucher VN1729,
NC_023968.1,Carangoides malabaricus,
NC_036316.1,Myotis oxyotus,
NC_040850.1,Lophophorus impejanus,
NC_005257.1,Carpiodes carpio,
NC_041251.1,Hydrobates castro,
NC_044796.1,Halicampus grayi,
NC_005794.2,Bufo melanostictus,
NC_023787.1,Phodilus badius,
NC_036720.1,Cheilopogon agoo,
NC_048969.1,Arius dispar,
NC_053366.1,Hyporthodus septemfasciatus x Epinephelus lanceolatus,
NC_019582.1,Trachypithecus vetulus,
NC_020793.1,Oryx beisa isolate AWWP,
NC_022724.1,Hasemania nana,
NC_025937.1,Argyrosomus amoyensis,
NC_028550.1,Scombrops gilberti voucher KPM-NI:37540,
NC_029328.1,Synthliboramphus wumizusume,
NC_028558.1,Cabassous tatouay voucher ZVC_M365,
NC_051029.1,Rhipidura dahli,
NC_030634.1,Yaoshania pachychilus,
NC_036493.1,Bokermannohyla alvarengai,
NC_046924.1,Nyctimene cephalotes isolate 180810X3,
NC_008680.1,Vaillantella maassi,
NC_031627.1,Clypeobarbus pleuropholis,
NC_031620.1,Hypsibarbus salweenensis,
NC_031594.1,Pangio cuneovirgata,
NC_035304.1,Gekko hokouensis,
NC_047186.1,Notacanthus bonaparte voucher NOTAC8,
NC_051031.1,Polioptila caerulea,
NC_059060.1,Iksookimia pacifica,
NC_016682.1,Tenualosa ilisha,
NC_059782.1,Acanthodactylus schmidti voucher SB642,
NC_025550.1,Callosciurus erythraeus,
NC_026075.1,Dicentrarchus punctatus isolate DP4M,
NC_027098.1,Plectorhinchus vittatus,
NC_014060.1,Oreochromis sp. 'red tilapia',
NC_031519.1,Amblyrhynchichthys truncatus,
NC_031634.1,Homaloptera parclitella,
NC_039423.1,Hyporhamphus quoyi,
NC_039921.1,Peromyscus maniculatus bairdii strain BW stock,
NC_044151.1,Sicyopterus squamosissimus isolate Aqua11919,
NC_053058.1,Oriolus oriolus,
NC_058020.1,Cobitis hankugensis,
NC_008675.1,Pangio anguillaris,
NC_041095.1,Turdus kessleri,
NC_042191.1,Culicicapa ceylonensis,
NC_042754.1,Parocnus serus voucher UF 75452,
NC_046484.1,Aonyx capensis,
NC_053050.1,Leucopsar rothschildi,
NC_002619.1,Pteropus scapulatus,
NC_003173.1,Zenopsis nebulosus,
NC_014866.1,Silurus meridionalis,
NC_030281.1,Morone americana,
NC_036053.1,Laticauda laticaudata,
NC_046007.1,Darevskia dahli,
NC_046709.1,Salvethymus svetovidovi isolate SVET17_001,
NC_066469.1,Lepidotrigla abyssalis,
NC_005799.1,Megalops cyprinoides,
NC_020617.1,Syncerus caffer,
NC_016420.1,Scomberomorus niphonius,
NC_040005.1,Indicator xanthonotus,
NC_031358.1,Psephotellus pulcherrimus,
NC_002009.1,Artibeus jamaicensis,
NC_065297.1,Odorrana jingdongensis,
NC_013832.1,Hypoplectrus gemma,
NC_014889.1,Pungitius sinensis,
NC_020668.1,Heosemys annandalii,
NC_046750.1,Callionymus olidus,
NC_054275.1,Eudyptes chrysolophus,
NC_027251.1,Emberiza jankowskii isolate GHT-LB-07,
NC_006531.1,Anguilla anguilla,
NC_063121.1,Psedoliparis sp. RL-2022,
NC_064180.1,Saguinus mystax isolate PUR163 voucher INPA:7501,
NC_066655.1,Paratanakia chii,
NC_053645.1,Rhodinocichla rosea,
NC_018825.1,Leuciscus waleckii,
NC_035822.1,Niviventer cremoriventer isolate 12,
NC_057976.1,Dasyatis pastinaca isolate CBRG-Dpas170212019,
NC_063775.1,Syngnathus euchrous,
NC_004389.1,Cetostoma regani,
NC_017883.1,Chelon labrosus,
NC_024185.1,Draconetta xenica,
NC_022499.1,Tetragonurus cuvieri,
NC_063648.1,Dryophytes andersonii isolate ARW103,
NC_053751.1,Phocoena sinus isolate 4394,
NC_064155.1,Cacajao calvus rubicundus isolate JT063 voucher IDSM00083,
NC_066466.1,Microstomus achne,
NC_028079.1,Taractes rubescens,
NC_013828.1,Clinocottus analis,
NC_022509.1,Epinephelus merra,
NC_035656.1,Mirza coquereli isolate ZOMB53,
NC_023468.1,Boleophthalmus boddarti,
NC_028184.1,Batrachoseps nigriventris,
NC_035612.1,Habromys ixtlani,
NC_044184.1,Pionites leucogaster isolate HSZ-PL-01,
NC_059777.1,Australolacerta australis voucher SK1,
NC_023777.1,Ichthyaetus relictus,
NC_057438.1,Bubalus arnee isolate Assam,
NC_066927.1,Phanerodon furcatus,
NC_014264.1,Thryssa baelama,
NC_017900.1,Trachinops taeniatus,
NC_006401.1,Myxocyprinus asiaticus,
NC_023769.1,Trinectes maculatus,
NC_033921.1,Notropis imeldae,
NC_044450.1,Fundulopanchax filamentosus strain Ikeja,
NC_018116.1,Aotus nancymaae,
NC_008424.1,Leptonychotes weddellii,
NC_023455.1,Rhincodon typus,
NC_050964.1,Inimicus japonicus,
NC_057073.1,Lycodes polaris,
NC_037142.1,Brachygobius doriae,
NC_052820.1,Nothoprocta ornata,
NC_065689.1,Molossus molossus voucher QCAZ:18284,
NC_031600.1,Yasuhikotakia morleti,
NC_008090.1,Batrachuperus mustersi,
NC_031569.1,Platygobio gracilis,
NC_049890.1,Neodontobutis hainanensis voucher IHB:191010,
NC_063523.1,Brosme brosme isolate DM858,
NC_068686.1,Chalcorana labialis voucher 11101710,
NC_029359.1,Falco rusticolus,
NC_013436.1,Serrivomer sector,
NC_044430.1,Aphyosemion coeleste voucher AMNH-I-258487,
NC_062354.1,Polypedates impresus,
NC_065079.1,Mastomys angolensis voucher ANG0202,
NC_007692.1,Testudo graeca,
NC_026698.1,Pseudohynobius jinfo voucher SWU-AMP-140715001,
NC_004384.1,Melanocetus murrayi,
NC_018822.1,Protopterus annectens,
NC_025631.1,Platysmacheilus nudiventris,
NC_050012.1,Sciurus carolinensis voucher USNM570626,
NC_013812.1,Sebastiscus marmoratus,
NC_021392.1,Scomberomorus munroi x Scomberomorus semifasciatus strain Grey-SsCRC0703,
NC_042752.1,Acratocnus ye voucher UF 76365,
NC_065120.1,Fundulus dispar,
NC_011118.1,Ursus thibetanus thibetanus,
NC_014581.1,Hoplobatrachus tigerinus,
NC_039550.1,"Proechimys steerei voucher INPA:3832, MNFS-689",
NC_049865.1,Raja brachyura isolate DM519,
NC_069632.1,Leuciscus merzbacheri,
NC_029462.1,Yuhina diademata,
NC_029840.1,Episoriculus macrurus,
NC_032395.1,Hemigobius hoevenii,
NC_036056.1,Odontobutis haifengensis,
NC_036234.1,Gloydius strauchi,
NC_004594.1,Galaxias maculatus,
NC_028326.1,Paroedura picta,
NC_029196.1,Pelophylax cf. bedriagae AFL1,
NC_033936.1,Macrhybopsis meeki,
NC_010092.1,Porphyrio hochstetteri,
NC_020677.1,Alces alces isolate Kazakhstan,
NC_016702.1,Clupeichthys aesarnensis,
NC_024534.1,Sinogastromyzon sichangensis voucher 0301073,
NC_058599.1,Rana johnsi,
NC_013151.1,Toxotes chatareus,
NC_025903.1,Samaris cristatus,
NC_031535.1,Garra congoensis,
NC_044886.1,Xenopus clivii isolate R7935_MHNG2645.069,
NC_049123.1,Scaptochirus moschatus isolate M11099,
NC_018603.1,Kobus leche,
NC_038151.1,Misgurnus mizolepis,
NC_002639.1,Myxine glutinosa,
NC_008776.1,Heloderma suspectum,
NC_070350.1,Merluccius senegalensis,
NC_022684.1,Arborophila brunneopectus voucher AB01,
NC_023922.1,Petaurista alborufus,
NC_033859.1,Pseudoplatystoma reticulatum,
NC_058293.1,Ostorhinchus fasciatus,
NC_033931.1,Luxilus cornutus,
NC_031534.1,Epalzeorhynchos bicolor,
NC_018063.1,Pygathrix cinerea 2 RL-2012,
NC_020586.1,Tragopan temminckii,
NC_021107.1,Hippocampus trimaculatus,
NC_025609.1,Pinicola enucleator,
NC_026976.1,Macaca nemestrina,
NC_063745.1,Chaenogobius annularis,
NC_014875.1,Procapra przewalskii,
NC_015797.1,Pimelodus pictus,
NC_026284.1,Pelotretis flavilatus,
NC_029845.1,Cubiceps squamiceps,
NC_034651.1,Gymnocanthus herzensteini,
NC_036337.1,Spheniscus humboldti,
NC_037855.1,Anomaloglossus dewynteri voucher PG660,
NC_049036.1,Prometheomys schaposchnikowi isolate PrScTR1,
NC_010267.1,Solenostomus cyanopterus,
NC_002778.2,Casuarius casuarius,
NC_001945.1,Dinodon semicarinatus,
NC_020614.1,Boselaphus tragocamelus,
NC_024546.1,Euprepiophis perlacea voucher SCUM120628,
NC_031576.1,Canthophrys gongota,
NC_049121.1,Chiropodomys gliroides voucher CBGPR4959,
NC_003322.1,Vombatus ursinus,
NC_057092.1,Eudiscopus denticulus,
NC_022498.1,Ariomma indica,
NC_022456.1,Umbra pygmaea,
NC_010299.1,Daubentonia madagascariensis,
NC_023828.1,Lophius litulon,
NC_036016.1,Tringa semipalmata,
NC_048469.1,Calandrella cinerea isolate D3,
NC_070409.1,Ptyas korros,
NC_010094.1,Archilochus colubris,
NC_013985.1,Sibon nebulatus,
NC_019647.1,Odontamblyopus rubicundus,
NC_027496.1,Eurynorhynchus pygmeus voucher NJNU:SBS01,
NC_052761.1,Gobiusculus flavescens isolate DM513,
NC_059711.1,Cacatua galerita,
NC_021466.1,Halocynthia spinosa complete,
