sample,Sample name,Collection date,description,Isolation source,total_reads,preprocessed_reads,SARS2_aligned_reads,percent_preprocessed_reads_aligning_to_SARS2,Sample type,Sampling date,Street No.,Vendor No.,PCR,CT,PCR target,NGS,classification
629-8-L7,Env_0882,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3.2394e+08,3.2364e+08,0,0,,,,,,,,,PCR- / sequencing-
629-L-1,Env_0889,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4903e+08,1.4892e+08,0,0,,,,,,,,,PCR- / sequencing-
7-26-BX,Env_0705,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3.1603e+08,3.1025e+08,0,0,,,,,,,,,PCR- / sequencing-
7-26-DH,Env_0712,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,6.2193e+08,6.1493e+08,0,0,,,,,,,,,PCR- / sequencing-
7-26-PSN,Env_0708,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,4.4861e+08,4.401e+08,0,0,,,,,,,,,PCR- / sequencing-
7-26-PSW,Env_0707,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,4.5559e+08,4.472e+08,0,0,,,,,,,,,PCR- / sequencing-
8-25-BX,Env_0714,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0727e+09,1.0528e+09,0,0,,,,,,,,,PCR- / sequencing-
8-25-CK,Env_0716,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4805e+09,1.4531e+09,0,0,,,,,,,,,PCR- / sequencing-
8-25-D1,Env_0753,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0955e+09,1.0922e+09,0,0,,,,,,,,,PCR- / sequencing-
8-25-D2,Env_0754,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,8.2898e+07,8.2784e+07,0,0,,,,,,,,,PCR- / sequencing-
8-25-D_Env_0715,Env_0715,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.3537e+08,2.3505e+08,0,0,,,,,,,,,PCR- / sequencing-
8-25-D_Env_0717,Env_0717,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.7853e+09,1.7543e+09,0,0,,,,,,,,,PCR- / sequencing-
8-25-Long,Env_0756,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.8544e+08,2.85e+08,0,0,,,,,,,,,PCR- / sequencing-
8-25-M1,Env_0719,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,4.4814e+08,4.4041e+08,24,5.4494e-06,Ground inside the stalls,2020/2/3,8,25,+,36.5,ORF1ab,Yes,PCR+ / sequencing+
8-25-M2,Env_0720,2020-02-03,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.6431e+09,1.6197e+09,0,0,,,,,,,,,PCR- / sequencing-
A101,Env_0101,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.5221e+08,1.5036e+08,67,4.4561e-05,Surface of the door,2020/1/1,4,19,+,36.82,ORF1ab/N,Yes,PCR+ / sequencing+
A14,Env_0014,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.2475e+08,2.2407e+08,4,1.7852e-06,Surface of packing bag for hairtail,2020/1/1,4,26,+,36.42,ORF1ab/N,Yes,PCR+ / sequencing+
A15,Env_0015,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2548e+08,1.2217e+08,200,0.0001637,Surface of the door,2020/1/1,4,26,+,35.51,ORF1ab/N,Yes,PCR+ / sequencing+
A18,Env_0018,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3.1284e+08,3.1196e+08,226,7.2446e-05,Shoe covers and soles,2020/1/1,7,15-17,+,33.79,ORF1ab/N,Yes,PCR+ / sequencing+
A2,Env_0002,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.3229e+08,2.3166e+08,66,2.849e-05,Ground,2020/1/1,7,15-17,+,35.07,ORF1ab/N,Yes,PCR+ / sequencing+
A33,Env_0033,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.8129e+08,1.8067e+08,35,1.9372e-05,Garbage truck,2020/1/1,7,,+,34.46,ORF1ab/N,Yes,PCR+ / sequencing+
A55,Env_0055,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.5152e+08,2.4987e+08,176,7.0438e-05,Ground,2020/1/1,7,25,+,34.84,ORF1ab/N,Yes,PCR+ / sequencing+
A61,Env_0061,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,4.4991e+08,4.479e+08,334,7.457e-05,Ground,2020/1/1,7,20-22-24,+,32.04,ORF1ab/N,Yes,PCR+ / sequencing+
A63,Env_0063,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.3195e+08,2.3115e+08,65,2.812e-05,Ground,2020/1/1,7,16-18,+,34.43,ORF1ab/N,Yes,PCR+ / sequencing+
A87,Env_0087,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.3466e+08,2.3083e+08,136,5.8919e-05,Surface of the door,2020/1/1,4,28,+,36.94,ORF1ab/N,Yes,PCR+ / sequencing+
A88,Env_0088,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.989e+08,1.9804e+08,18,9.0892e-06,Ground,2020/1/1,4,28,+,36.69,ORF1ab/N,Yes,PCR+ / sequencing+
A90,Env_0090,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.6447e+08,2.6329e+08,22,8.3557e-06,Ground,2020/1/1,4,26,+,33.14,ORF1ab/N,Yes,PCR+ / sequencing+
A96,Env_0096,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3.7317e+08,3.7194e+08,4,1.0754e-06,Ground,2020/1/1,4,24,+,33.97,ORF1ab/N,Yes,PCR+ / sequencing+
B17,Env_0138,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.1312e+08,2.1225e+08,406,0.00019128,Scale,2020/1/1,15,X44,+,34.16,ORF1ab/N,Yes,PCR+ / sequencing+
B5,Env_0126,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.2946e+08,2.2868e+08,1460,0.00063843,Ground,2020/1/1,5,6-8,+,29.32,ORF1ab/N,Yes,PCR+ / sequencing+
C12,Env_0842,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.7267e+08,1.7241e+08,0,0,,,,,,,,,PCR- / sequencing-
C17,Env_0847,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.158e+08,1.1566e+08,0,0,,,,,,,,,PCR- / sequencing-
C9,Env_0839,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3.2227e+08,3.2177e+08,0,0,,,,,,,,,PCR- / sequencing-
CCDC-454,Env_0873,2020-02-25,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.4059e+08,2.404e+08,0,0,,,,,,,,,PCR- / sequencing-
CCDC-744,Env_0893,2020-03-02,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.2428e+08,2.2413e+08,0,0,,,,,,,,,PCR- / sequencing-
CCDC-746,Env_0895,2020-03-02,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.8976e+08,1.8958e+08,0,0,,,,,,,,,PCR- / sequencing-
CCDC-758,Env_0907,2020-03-02,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1819e+08,1.1813e+08,0,0,,,,,,,,,PCR- / sequencing-
CCDC-760,Env_0909,2020-03-02,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.4821e+08,2.4796e+08,0,0,,,,,,,,,PCR- / sequencing-
CSSQ-1-1,Env_0788,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,4.1479e+08,4.1344e+08,10,2.4187e-06,,,,,,,,,PCR- / sequencing+
CSSQ-1-2,Env_0789,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,6.9501e+08,6.9277e+08,0,0,,,,,,,,,PCR- / sequencing-
CSSQ-1-3,Env_0790,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,8.3332e+08,8.3093e+08,0,0,sewerage well in surrounding area,2020/2/9,,,+,37.23,ORF1ab,Yes,PCR+ / sequencing-
D32,Env_0213,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.9739e+08,1.9258e+08,326,0.00016928,Surface of a cart,2020/1/1,15,15,+,33.72,ORF1ab/N,Yes,PCR+ / sequencing+
E-10-29-2,Env_0856,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.8535e+08,1.8506e+08,0,0,,,,,,,,,PCR- / sequencing-
E-A-7-1,Env_0858,2020-02-20,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM,2.8419e+08,2.8391e+08,0,0,,,,,,,,,PCR- / sequencing-
E48,Env_0262,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM,3.2726e+08,3.263e+08,10,3.0647e-06,Blood on the ground in front of the door,2020/1/1,9,22,+,35.93,ORF1ab/N,Yes,PCR+ / sequencing+
E61,Env_0275,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM,2.731e+08,2.7249e+08,57,2.0918e-05,Ground,2020/1/1,6,1-3,+,36.04,ORF1ab/N,Yes,PCR+ / sequencing+
E7,Env_0221,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.3724e+08,2.3613e+08,126,5.336e-05,Styrofoam desk in front of the door,2020/1/1,2,5,+,36.44,ORF1ab/N,Yes,PCR+ / sequencing+
EWS-2#-2,Env_0813,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),2.7401e+08,2.7352e+08,0,0,East sewage well 2,2020/2/15,,,+,35.32,ORF1ab,Yes,PCR+ / sequencing-
EWS-3#-2,Env_0815,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),4.0488e+08,4.0315e+08,0,0,West sewage well 3,2020/2/15,,,+,36.05,ORF1ab,Yes,PCR+ / sequencing-
F100,Env_0400,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.6005e+08,2.5889e+08,7202,0.0027819,Ground,2020/1/1,4,X6-X4,+,34.72,ORF1ab/N,Yes,PCR+ / sequencing+
F46,Env_0346,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3.716e+08,3.7042e+08,241,6.506e-05,Ground,2020/1/1,2,24,+,31.8,ORF1ab/N,Yes,PCR+ / sequencing+
F98,Env_0398,2020-01-01,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,4.0113e+08,3.9974e+08,330,8.2553e-05,Ground,2020/1/1,4,X6-X4,+,34,ORF1ab/N,Yes,PCR+ / sequencing+
HJ200001-20200112-1,Env_0516,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1641e+08,1.1641e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200002-20200112-1,Env_0517,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.3114e+08,2.3113e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200003-20200112-1,Env_0518,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2083e+08,1.208e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200004-20200112-1,Env_0519,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.2731e+08,2.273e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200005-20200112-1,Env_0520,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1531e+08,1.1529e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200006-20200112-1,Env_0521,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2884e+08,1.2882e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200007-20200112-1,Env_0522,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.3684e+08,1.3677e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200008-20200112-1,Env_0523,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.5254e+08,1.4797e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200009-20200112-1,Env_0524,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4994e+08,1.4993e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200010-20200112-1,Env_0525,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4788e+08,1.4194e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200011-20200112-1,Env_0526,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.9124e+08,5.8499e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200012-20200112-1,Env_0527,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.3034e+08,1.3029e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200013-20200112-1,Env_0528,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2328e+08,1.0891e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200014-20200112-1,Env_0529,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0747e+08,1.0746e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200015-20200112-1,Env_0530,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.354e+08,1.3539e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200016-20200112-1,Env_0531,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1647e+08,1.1647e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200017-20200112-1,Env_0532,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0742e+08,1.0742e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200018-20200112-1,Env_0533,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.3856e+08,1.3855e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200019-20200112-1,Env_0534,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,7.9775e+07,6.9992e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200020-20200112-1,Env_0535,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0598e+08,7.907e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200021-20200112-1,Env_0536,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0044e+08,8.1669e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200022-20200112-1,Env_0537,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.3559e+08,1.2357e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200023-20200112-1,Env_0538,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2836e+08,6.8845e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200024-20200112-1,Env_0539,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0049e+08,9.7913e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200025-20200112-1,Env_0540,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2287e+08,1.2287e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200026-20200112-1,Env_0541,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1708e+08,1.0406e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200027-20200112-1,Env_0542,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.303e+08,8.9627e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200028-20200112-1,Env_0543,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.3572e+08,7.7644e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200029-20200112-1,Env_0544,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,9.3556e+07,9.3555e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200030-20200112-1,Env_0545,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.3379e+08,1.1351e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200031-20200112-1,Env_0546,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1983e+08,1.0397e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200032-20200112-1,Env_0547,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4006e+08,1.4006e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200033-20200112-1,Env_0548,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1612e+08,1.1612e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200034-20200112-1,Env_0549,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4863e+08,1.4863e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200035-20200112-1,Env_0550,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1466e+08,7.1849e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200036-20200112-1,Env_0551,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.2995e+08,2.2359e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200038-20200112-1,Env_0553,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.5188e+08,1.0063e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200039-20200112-1,Env_0554,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4229e+08,1.2257e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200040-20200112-1,Env_0555,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4819e+08,1.4792e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200041-20200112-1,Env_0556,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.759e+08,1.759e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200042-20200112-1,Env_0557,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.9787e+08,1.8956e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200043-20200112-1,Env_0558,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.8305e+08,8.2607e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200044-20200112-1,Env_0559,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.3337e+08,1.2119e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200045-20200112-1,Env_0560,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0588e+08,1.0588e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200046-20200112-1,Env_0561,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2191e+08,1.0639e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200047-20200112-1,Env_0562,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.5199e+08,1.4071e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200048-20200112-1,Env_0563,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2323e+08,1.2312e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200049-20200112-1,Env_0564,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2318e+08,1.0355e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200050-20200112-1,Env_0565,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0575e+08,1.0136e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200051-20200112-1,Env_0566,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1596e+08,1.1596e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200052-20200112-1,Env_0567,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.5403e+08,1.3089e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200053-20200112-1,Env_0568,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2662e+08,1.2661e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200054-20200112-1,Env_0569,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.6005e+08,1.5721e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200055-20200112-1,Env_0570,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0581e+08,1.0581e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200056-20200112-1,Env_0571,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.8938e+08,1.6747e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200057-20200112-1,Env_0572,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1316e+08,1.0702e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200058-20200112-1,Env_0573,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.7174e+08,2.7171e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200059-20200112-1,Env_0574,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.5457e+08,2.4962e+08,0,0,,,,,,,,,PCR- / sequencing-
