Sample name,Sample title,Public description,Collection date,Run accession,BioSample accession,fastqs,Isolation source,Experiment accession,Experiment title,Platform,Library Construction / Experimental Design,Strategy,Source,Selection,Layout,Read length for mate1(bp),Read length for mate 2(bp),download_urls,md5_checksums
Env_0719,8-25-M1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-03,CRR710771,SAMC1152966,"['CRR710771_f1.fq.gz', 'CRR710771_r2.fq.gz']",West Wine of HSM,CRX637079,Env_0719,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710771/CRR710771_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710771/CRR710771_r2.fq.gz']","['270c3c47b0ea57e616732b47800d58f2', 'a2a9c33bdbd5e7998ab4fb54356f0ec2']"
Env_0719,8-25-M1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-03,CRR710772,SAMC1152966,"['CRR710772_f1.fq.gz', 'CRR710772_r2.fq.gz']",West Wine of HSM,CRX637079,Env_0719,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710772/CRR710772_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710772/CRR710772_r2.fq.gz']","['adf1338f9e6b9c678063ecf3d95606ff', '25b4b390af227571d3b8396fdb241c5e']"
Env_0719,8-25-M1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-03,CRR710773,SAMC1152966,"['CRR710773_f1.fq.gz', 'CRR710773_r2.fq.gz']",West Wine of HSM,CRX637079,Env_0719,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710773/CRR710773_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710773/CRR710773_r2.fq.gz']","['c44be8fea91cfeb05c0e69cc60a82e50', '75108a630c4987ad4d08763ae28f6050']"
Env_0719,8-25-M1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-03,CRR710774,SAMC1152966,"['CRR710774_f1.fq.gz', 'CRR710774_r2.fq.gz']",West Wine of HSM,CRX637079,Env_0719,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710774/CRR710774_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710774/CRR710774_r2.fq.gz']","['c11fa1ac5a009583dfcd20c0026e761e', '3ed397f1c75a785cfe1fd89fed6b432a']"
Env_0742,WS-1-1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-05,CRR710775,SAMC1152967,"['CRR710775_f1.fq.gz', 'CRR710775_r2.fq.gz']",West Wine of HSM (Sewers or sewerage wells),CRX637080,Env_0742,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710775/CRR710775_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710775/CRR710775_r2.fq.gz']","['1e19459028bde2f37c57c705764adbdc', 'f5ca4c7f4d5e417c1217bab8e094f4a9']"
Env_0742,WS-1-1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-05,CRR710776,SAMC1152967,"['CRR710776_f1.fq.gz', 'CRR710776_r2.fq.gz']",West Wine of HSM (Sewers or sewerage wells),CRX637080,Env_0742,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710776/CRR710776_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710776/CRR710776_r2.fq.gz']","['396303ecabc8806fbc520b8c7a210be7', '16d9e245936d2f19374e804e9d6367e5']"
Env_0742,WS-1-1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-05,CRR710777,SAMC1152967,"['CRR710777_f1.fq.gz', 'CRR710777_r2.fq.gz']",West Wine of HSM (Sewers or sewerage wells),CRX637080,Env_0742,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710777/CRR710777_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710777/CRR710777_r2.fq.gz']","['58c84200429811685fc342d4e3f5a120', '8f11d4ca2dba21b4c445acd74cbade40']"
Env_0746,WS-2-1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-05,CRR710778,SAMC1152968,"['CRR710778_f1.fq.gz', 'CRR710778_r2.fq.gz']",West Wine of HSM (Sewers or sewerage wells),CRX637081,Env_0746,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710778/CRR710778_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710778/CRR710778_r2.fq.gz']","['4ff671f278a24fa6001d1d816b0c5a01', '88ab7d18d121ea536f6f8b5199ff213f']"
Env_0746,WS-2-1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-05,CRR710779,SAMC1152968,"['CRR710779_f1.fq.gz', 'CRR710779_r2.fq.gz']",West Wine of HSM (Sewers or sewerage wells),CRX637081,Env_0746,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710779/CRR710779_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710779/CRR710779_r2.fq.gz']","['a267f564ea536a06b5b0e08972792ff7', '4f0f5bce87ce377fcd5fd37bdeb471a9']"
Env_0746,WS-2-1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-05,CRR710780,SAMC1152968,"['CRR710780_f1.fq.gz', 'CRR710780_r2.fq.gz']",West Wine of HSM (Sewers or sewerage wells),CRX637081,Env_0746,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710780/CRR710780_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710780/CRR710780_r2.fq.gz']","['9e790b700091b3622e9af71af7a3886d', '0fbc595eed69901815fdedf1ab86a6f3']"
Env_0748,WS-2-3,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-05,CRR710781,SAMC1152969,"['CRR710781_f1.fq.gz', 'CRR710781_r2.fq.gz']",West Wine of HSM (Sewers or sewerage wells),CRX637082,Env_0748,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710781/CRR710781_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710781/CRR710781_r2.fq.gz']","['85a6632845cc1e4180f610bcea596d79', 'e8861fa034ca13753ab145c236d42e8e']"
Env_0790,CSSQ-1-3,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-09,CRR710782,SAMC1152970,"['CRR710782_f1.fq.gz', 'CRR710782_r2.fq.gz']",Sewerage well in the surrounding areas,CRX637083,Env_0790,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710782/CRR710782_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710782/CRR710782_r2.fq.gz']","['11602c5164ffc94ec51085cd27ff260c', '706de0ed2b1af0d38dd853b053849225']"
Env_0790,CSSQ-1-3,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-09,CRR710783,SAMC1152970,"['CRR710783_f1.fq.gz', 'CRR710783_r2.fq.gz']",Sewerage well in the surrounding areas,CRX637083,Env_0790,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710783/CRR710783_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710783/CRR710783_r2.fq.gz']","['a0f847c864879e637b07d7ea2e901c4e', '1018bf79a5567774f7b65ad1dc07e06a']"
Env_0790,CSSQ-1-3,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-09,CRR710784,SAMC1152970,"['CRR710784_f1.fq.gz', 'CRR710784_r2.fq.gz']",Sewerage well in the surrounding areas,CRX637083,Env_0790,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710784/CRR710784_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710784/CRR710784_r2.fq.gz']","['2eaeb7bf064f646b944f388edaa6f1ea', '895f249d1456250eec934d2ede1d9cc5']"
Env_0790,CSSQ-1-3,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-09,CRR710785,SAMC1152970,"['CRR710785_f1.fq.gz', 'CRR710785_r2.fq.gz']",Sewerage well in the surrounding areas,CRX637083,Env_0790,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710785/CRR710785_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710785/CRR710785_r2.fq.gz']","['74b84cf0aa9335188d0afce0da374718', 'd1156eb5f03d7655ab8f67fab1366094']"
Env_0806,W-8-25-D1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710786,SAMC1152971,['CRR710786.fq.gz'],West Wine of HSM,CRX637084,Env_0806,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710786/CRR710786.fq.gz'],['bae7a8c15c075638135618ad6d9bdb25']
Env_0806,W-8-25-D1,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710787,SAMC1152971,['CRR710787.fq.gz'],West Wine of HSM,CRX637084,Env_0806,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710787/CRR710787.fq.gz'],['dc6ffbd868d3f3bad6f324b17076e3b8']
Env_0807,W-8-25-D2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710788,SAMC1152972,"['CRR710788_f1.fq.gz', 'CRR710788_r2.fq.gz']",West Wine of HSM,CRX637085,Env_0807,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710788/CRR710788_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710788/CRR710788_r2.fq.gz']","['22b018fa47b7c81b8b3996f4009e6e61', 'bf7e0d97606162907828e4a62367ee5d']"
Env_0807,W-8-25-D2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710789,SAMC1152972,"['CRR710789_f1.fq.gz', 'CRR710789_r2.fq.gz']",West Wine of HSM,CRX637085,Env_0807,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710789/CRR710789_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710789/CRR710789_r2.fq.gz']","['cae75d44eb27cd4937ec976d71eee0c8', 'ec463c2d20e63f322f9125f556d4e92d']"
Env_0807,W-8-25-D2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR711156,SAMC1152972,['CRR711156.fq.gz'],West Wine of HSM,CRX637251,Env_0807_SE,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR711156/CRR711156.fq.gz'],['185b57b6bdc18acdf5402d20ba44056b']
Env_0808,W-8-25-L,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710790,SAMC1152973,['CRR710790.fq.gz'],West Wine of HSM,CRX637086,Env_0808,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710790/CRR710790.fq.gz'],['b4b422186e3b52f468841504e7724b72']
Env_0808,W-8-25-L,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710791,SAMC1152973,['CRR710791.fq.gz'],West Wine of HSM,CRX637086,Env_0808,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710791/CRR710791.fq.gz'],['f7596e250cb6be67e96522d8cea44582']
Env_0809,W-8-25-L2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710792,SAMC1152974,"['CRR710792_f1.fq.gz', 'CRR710792_r2.fq.gz']",West Wine of HSM,CRX637087,Env_0809,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710792/CRR710792_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710792/CRR710792_r2.fq.gz']","['525a43f1e9e6d3ab767a99a337a2fd69', '86671d4c3439d722f027d79c7b1fa34f']"
Env_0809,W-8-25-L2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710793,SAMC1152974,"['CRR710793_f1.fq.gz', 'CRR710793_r2.fq.gz']",West Wine of HSM,CRX637087,Env_0809,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710793/CRR710793_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710793/CRR710793_r2.fq.gz']","['7965249b4ed59f2709850bdcb85d6ea6', '1d1b14b722e3a99a0306a3c69c2320f8']"
Env_0809,W-8-25-L2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR711157,SAMC1152974,['CRR711157.fq.gz'],West Wine of HSM,CRX637252,Env_0809_SE,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR711157/CRR711157.fq.gz'],['8c71792a62183f72e70d7b64a74a0ff7']
Env_0813,EWS-2#-2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710794,SAMC1152975,['CRR710794.fq.gz'],East Wine of HSM (Sewers or sewerage wells),CRX637088,Env_0813,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710794/CRR710794.fq.gz'],['b4b258fe3740b61a460e3bd63f89a8d1']
Env_0813,EWS-2#-2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710795,SAMC1152975,['CRR710795.fq.gz'],East Wine of HSM (Sewers or sewerage wells),CRX637088,Env_0813,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710795/CRR710795.fq.gz'],['c337cc2adfed0696be554b6fc6bafb83']
Env_0815,EWS-3#-2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710796,SAMC1152976,"['CRR710796_f1.fq.gz', 'CRR710796_r2.fq.gz']",East Wine of HSM (Sewers or sewerage wells),CRX637089,Env_0815,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710796/CRR710796_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710796/CRR710796_r2.fq.gz']","['3bfd5b4474743f55c45fb96417b1b304', 'a62bc62e1c701ddecef24b022a3ca14f']"
Env_0815,EWS-3#-2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710797,SAMC1152976,"['CRR710797_f1.fq.gz', 'CRR710797_r2.fq.gz']",East Wine of HSM (Sewers or sewerage wells),CRX637089,Env_0815,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710797/CRR710797_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710797/CRR710797_r2.fq.gz']","['47563f2b73bd2e513d685243e815d1f5', '994f7c51deb97771b8ed100e8ffc3e34']"
Env_0815,EWS-3#-2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR711158,SAMC1152976,['CRR711158.fq.gz'],East Wine of HSM (Sewers or sewerage wells),CRX637253,Env_0815_SE,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR711158/CRR711158.fq.gz'],['99c6f9f9482ab4d83dbbbe4605915fdf']
Env_0816,WWS-1#,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710798,SAMC1152977,['CRR710798.fq.gz'],West Wine of HSM (Sewers or sewerage wells),CRX637090,Env_0816,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710798/CRR710798.fq.gz'],['46204ad37a5b09ec61b3a65b3a48ba4a']
Env_0816,WWS-1#,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710799,SAMC1152977,['CRR710799.fq.gz'],West Wine of HSM (Sewers or sewerage wells),CRX637090,Env_0816,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710799/CRR710799.fq.gz'],['f2d77904dded4725ab024c9e287356a7']
Env_0817,WWS-1#-2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710800,SAMC1152978,"['CRR710800_f1.fq.gz', 'CRR710800_r2.fq.gz']",West Wine of HSM (Sewers or sewerage wells),CRX637091,Env_0817,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710800/CRR710800_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710800/CRR710800_r2.fq.gz']","['aba8ab7600443f40579dceddee83cd4f', 'facbda4a8938519846d54400facf6442']"
Env_0817,WWS-1#-2,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-02-15,CRR710801,SAMC1152978,"['CRR710801_f1.fq.gz', 'CRR710801_r2.fq.gz']",West Wine of HSM (Sewers or sewerage wells),CRX637091,Env_0817,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710801/CRR710801_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710801/CRR710801_r2.fq.gz']","['7b8d1fd111bfaee267aee32a75a9da21', 'b17f10b616a5b408f3d6b0bc590f4a27']"
